"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"CHAIN",2,2,1.99741254068789,1.5,0.95,1,3,NA,NA,NA,NA,NA,NA,NA
"beta0",3472.27906933333,3473.045,3519.06113592588,3564.2,0.95,2551.64,4426.01,NA,NA,NA,NA,NA,NA,NA
"beta[1]",0.108997930214333,0,0.0101098161586028,161.2,0.95,-3.18617,4.6718,NA,NA,NA,NA,NA,NA,NA
"beta[2]",1.75855875344933,1.808205,1.80626053228436,189.6,0.95,0,2.57159,NA,NA,NA,NA,NA,NA,NA
"beta[3]",-3.38483981466667,-3.388005,-3.46482953802588,6907.6,0.95,-4.2944,-2.5002,NA,NA,NA,NA,NA,NA,NA
"beta[4]",-2.339803203258,-2.22678,-2.24477933344299,168.3,0.95,-6.71189,0,NA,NA,NA,NA,NA,NA,NA
"beta[5]",-0.183166333968933,-0.1854655,-0.184641114982152,10447.4,0.95,-0.323504,-0.062105,NA,NA,NA,NA,NA,NA,NA
"beta[6]",-71.7974996668,-70.62495,-68.7285770573888,13669.4,0.95,-109.181,-36.6353,NA,NA,NA,NA,NA,NA,NA
"sigma",36.7539895,36.6523,36.3450657962889,15000,0.95,31.1726,42.1543,NA,NA,NA,NA,NA,NA,NA
"delta[1]",0.462533333333333,0,-0.00040314808210451,1339,0.95,0,1,NA,NA,NA,NA,NA,NA,NA
"delta[2]",0.952866666666667,1,0.999108535924908,64.3,0.95,1,1,NA,NA,NA,NA,NA,NA,NA
"delta[3]",1,1,0.9992278092193,0,0.95,1,1,NA,NA,NA,NA,NA,NA,NA
"delta[4]",0.894,1,0.999854450451812,941.5,0.95,0,1,NA,NA,NA,NA,NA,NA,NA
"delta[5]",0.968666666666667,1,0.999740057813418,5166,0.95,1,1,NA,NA,NA,NA,NA,NA,NA
"delta[6]",0.998933333333333,1,1.00083662573038,2326.9,0.95,1,1,NA,NA,NA,NA,NA,NA,NA
"sigmaBeta",0.442087370593333,0.358121,0.269793887447236,617.4,0.95,0.0711129,1.02453,NA,NA,NA,NA,NA,NA,NA
"zbeta0",-0.126040290490667,-0.1260195,-0.12492730082908,15000,0.95,-0.195251,-0.0552516,NA,NA,NA,NA,NA,NA,NA
"zbeta[1]",0.0203381272630413,-0.0198566,0.0160864717807101,231.5,0.95,-3.30671,3.6256,NA,NA,NA,NA,NA,NA,NA
"zbeta[2]",0.663969854201867,0.455658,0.44350456226696,20.6,0.95,0.127228,0.755041,NA,NA,NA,NA,NA,NA,NA
"zbeta[3]",-0.4208643264,-0.421258,-0.430809567060342,6907.6,0.95,-0.533958,-0.31087,NA,NA,NA,NA,NA,NA,NA
"zbeta[4]",-0.395005016723067,-0.358791,-0.348589492262528,443.8,0.95,-1.30371,0.155139,NA,NA,NA,NA,NA,NA,NA
"zbeta[5]",-0.100301684428867,-0.103373,-0.101947826509513,2525.2,0.95,-0.174805,-0.0340206,NA,NA,NA,NA,NA,NA,NA
"zbeta[6]",-0.177638469884867,-0.1754395,-0.170689974630146,3928.6,0.95,-0.271185,-0.0910557,NA,NA,NA,NA,NA,NA,NA
"zsigma",0.474607732533333,0.4732945,0.469326993656875,15000,0.95,0.402535,0.544343,NA,NA,NA,NA,NA,NA,NA
"nu",2.97146874866667,2.894045,2.78707743759589,14445.4,0.95,1.93806,4.14138,NA,NA,NA,NA,NA,NA,NA
"log10(nu)",0.465004810866865,0.461505279645056,0.449600446121848,15000,0.95,0.312928045193233,0.635134763616036,NA,NA,NA,NA,NA,NA,NA
